                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.6577,                0.96846,                 1.3408,                0.95343,                0.88798,                0.92643,                0.48521,                 1.6921,                0.83442,                 1.4571,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.6787,                0.89981,                 1.3211,                0.91354,                0.89084,                0.92828,                 0.4766,                 1.7089,                0.85499,                 1.4694,               0.000406,               0.000406,               0.000406
                     62,                 1.6283,                 0.9137,                 1.2991,                0.89713,                 0.8911,                0.90151,                0.42774,                 1.8155,                0.88624,                 1.5338,              0.0003961,              0.0003961,              0.0003961
                     63,                   1.71,                0.94501,                 1.3702,                0.90882,                0.87248,                0.89973,                0.46503,                 1.7545,                0.89418,                 1.4876,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.6675,                0.96107,                 1.3387,                0.92409,                0.87294,                 0.8905,                0.47765,                 1.6978,                0.87534,                 1.4588,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.6434,                0.97228,                 1.3402,                0.91567,                0.86888,                0.89886,                0.49684,                 1.6802,                 0.8165,                 1.4468,              0.0003664,              0.0003664,              0.0003664
                     66,                   1.63,                0.91604,                 1.3029,                0.92478,                0.87391,                0.90626,                0.49173,                 1.7062,                0.81687,                 1.4677,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.7036,                0.92846,                 1.3076,                0.92679,                0.88538,                0.90905,                0.47993,                 1.7151,                0.82512,                  1.471,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.5893,                0.89412,                 1.3066,                 0.9281,                0.87494,                0.91168,                0.49861,                 1.6896,                0.80128,                 1.4634,              0.0003367,              0.0003367,              0.0003367
                     69,                  1.739,                  1.008,                 1.4567,                0.89945,                0.90162,                0.91544,                0.49134,                 1.7347,                 0.8099,                  1.488,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.6953,                 1.1399,                  1.453,                0.87981,                0.90154,                0.90559,                0.47356,                 1.7687,                0.80311,                 1.4997,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.6168,                0.88707,                 1.3399,                0.93726,                 0.8738,                0.91362,                0.49021,                 1.7162,                0.79712,                 1.4664,               0.000307,               0.000307,               0.000307
                     72,                 1.6832,                0.89249,                 1.3508,                0.93345,                0.87281,                0.91022,                0.48666,                  1.694,                0.77334,                 1.4513,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.6634,                0.93242,                 1.3275,                0.90753,                0.89759,                0.92625,                 0.4856,                 1.7477,                0.78576,                  1.488,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.6128,                0.88644,                 1.3237,                0.89784,                0.91194,                0.91649,                0.48499,                 1.7874,                0.80859,                 1.5103,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.6499,                0.86036,                 1.3121,                0.89777,                0.88113,                0.90353,                0.49293,                 1.7259,                0.79967,                 1.4705,              0.0002674,              0.0002674,              0.0002674
